bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
75,3.75,3.75,2.5,1.25,75
1.25,2.5,3.5,1.25,3.75,75
200,4.17,6.67,5,13.33,65.83
5,2.5,7.5,2.5,10,200
2,1,1,1,3,48
7.5,5.79,5.5,9,7.5,150
2.5,2.5,5,1.5,9,75
1.25,3.33,6.25,2.5,6.25,140
12,2,3,1.4,8,120
100,1.1,2.4,4,5,140
2.5,1.25,2.5,3.75,6.25,150
3.75,4.5,5,3,10,95
1.25,3.75,10,2.5,10,175
10,2,2,2,10,100
2.5,1.25,8.75,3.75,7.5,55
2,0.6,2.4,1.6,4,72
2.5,4,6,2.5,7.5,30
3.75,1.13,2.5,1,3.75,150
110,8,9,5,12.5,365
80,1.35,2,2,4,80
2.5,0.83,4.17,2.5,5,108.33
10,4,4,4,10,60
16.67,2.92,10,5,16.67,100
5,5,5,5,10,125
5,1.5,7.5,2.5,12.5,300
1.33,1.67,1.67,1,2.67,116.67
6,4,4,3,12,160
0.75,1.25,1.25,1.5,2.5,27.5
233.33,6.67,6.67,3.33,6.67,6.67
125,0.67,11.67,3.33,13.33,86
20,4,5,2,15,75
14,1.2,4,5,4,140
5,7.5,5,5,10,180
3.33,6.67,6.67,1.67,20,186.67
60,0.91,1.2,1.2,2.4,3.25
5,0.5,7.5,3.75,12.5,135
100,1.25,3.75,1.25,6.25,25
7.14,3.57,2.14,0.57,2.86,78.57
4.17,1.67,3.33,0.83,3.67,86.67
6.25,1.25,3.75,2.5,6.25,145
12.5,2.5,2.5,2.5,6.25,175
112.5,5,3,1.25,5.5,154
73,0.6,2,4,2.4,60.4
5,1.67,2.5,1.67,3.33,116.67
1.33,0.83,1.67,0.83,2.5,60
300,10,2.5,3.75,2.5,47.5
5,2.5,5,2.5,5,105
2,3.75,6.25,1.25,12.5,100
42.86,1.43,0.43,0.71,2.86,89.71
13.33,3.33,1.67,3.33,10,260
12.5,1.25,6.25,2.5,7.5,70
5,2,7.5,5,8.75,97.5
3,5,5,3,20,150
5,1.33,5,2,6.67,153.33
5,2,6,1.5,7.5,190
6.67,5.33,3.33,3.33,3.33,123.33
3,2.5,3,4,8,110
3.33,0.83,1.67,3.33,3.33,116.67
1.75,3.75,2.5,1.25,12.5,145
166.67,6.67,10,6.67,16.67,155.09
200,1.25,2.5,1.25,3.75,50.5
310,33.33,16.67,10,20,178.33
2.5,8.8,7.5,5,25,225
150,0.75,4,1.25,6.25,200
80,0.6,3,0.6,5,30
12.5,5,3.75,1,5.5,200
12.5,6.67,1.25,1.25,7.5,182.5
125,3,3,1.5,7.5,259
5,2.5,1.5,1.5,7.5,180
5,5.4,7.5,5,12.5,55
150,4.15,3,5,5,165
1.33,0.67,1.67,1,3.33,56.67
4.17,2.5,0.83,0.83,6.67,100
2.5,0.91,4.17,1.67,3.33,126.67
130,2,3,2,6,171.2
