bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
1.43,0.43,1.14,0.71,3.57,42.86
70,1,2,0.4,4,66.67
100,1.67,1.67,1.67,16.67,27.67
2.5,7.5,3,3,3.75,75
3,0.9,2,2,5,80
7.5,3.75,0.75,1.25,2.5,175
100,5,2.5,1.67,4.17,136.84
2.5,1.67,1.67,1.67,2.5,30.83
2.14,1.43,2.14,0.43,3.57,28.57
2.5,1,3,1.33,4.17,83.33
2.5,2.5,6.25,2.5,22.5,187.5
180,4,3,3,7,88.42
2.5,3.6,7.5,7.5,0.75,325
6,1.1,0.6,0.4,3,80
0.75,3.75,3.75,3.75,8.75,150
137.5,0.75,3.75,1.25,6.25,58.33
3.33,5,1,3.33,6.67,190
5,5,5,5,7.5,350
450,6,10,15,10,2.5
140,3,6,4,8,83.68
10,2,3,3,12,100
0.71,1.43,3.57,2.14,5,71.43
3.33,5.9,8.33,3.33,9.33,250
2.5,1,3.5,2,4,50
1.43,0.71,0.43,0.43,3.43,77.14
4.17,1,1.67,2.5,5,100
100,1,1,3,12,10
6.67,2.33,3.33,5,8.33,166.67
141.67,2.53,1.67,4.17,6.67,83.33
4,1.2,2,5,6,140
150,3.33,1.67,1.67,4.17,58.77
150,3.75,2.5,2.5,6.25,93.42
6.67,3.33,3.33,3.33,10,83.33
1.67,0.83,0.33,3.33,0.67,116.67
1.67,2.5,4.17,0.83,10,100
1.5,2,2.5,1.5,7.5,292.5
100,2,6,5,8,166.67
150,2.5,2.5,2.5,7.5,95.26
7.14,2.86,10,7.14,7.14,107.14
120,2,6.8,1,8,4
0.08,0.42,0.5,0.58,4,30
0.67,0.75,0.5,0.67,2.33,51.67
0.83,1,0.67,1.17,2.5,33.33
3.33,1.67,1.67,1.33,5,100
70,1.4,1,1,4,120
2,1.2,2.4,2,5,28
140,10,10,4,10,177.78
1,1,0.8,0.8,1.6,90
1.43,0.71,2.14,0.43,2.86,57.14
17.5,1.5,5,6.25,5,175
0.5,1,1.5,1,5,87.5
2.5,2.1,0.6,0.6,2,32
0.83,0.5,0.67,1.67,3.33,66.67
0.83,0.83,2.5,3.33,8.33,75
85.71,0.71,0.71,2.86,4.29,90
20,3,3,5,12,200
15,2.5,2.5,1.5,12,175
0.5,2.67,2.5,1.67,5.83,50
1,0.8,1,0.4,2,70
3,0.8,1.6,0.6,4,73
3,1.5,1.5,1.5,6,65
7.5,1.75,2.5,1.25,6.25,100
75,1.25,1.25,2.5,1.25,200
1.25,1.25,0.75,1,2.5,50
166.67,1.17,1.67,1.67,16.67,34.17
1,0.38,1.25,1.25,2.5,43.75
1.67,5.52,5,1.67,6,63.33
1.43,2.14,2.14,1.43,2.86,98.57
0.83,4.67,2.5,2.5,5,66.67
4,1.65,5.6,2,6.4,140
2,0.6,2,3,10,110
1,2.5,1.4,1.4,2.4,40
92.86,5.71,1.43,2.14,3.57,65.36
19.5,0.38,1.88,0.38,2.5,31.25
5,1.75,2.5,1.5,6.25,125
142.86,14.29,3.57,1.43,3.57,19.05
8.33,1.67,2.5,3.33,3.33,116.67
4.17,1.67,3.33,0.83,5,33.33
8.33,1.67,4,0.67,4.17,66.67
200,2,7.5,3,12.5,183.34
10,1.67,3.33,1.67,6.67,83.33
7.14,2.86,2.14,2.14,2.86,142.86
1.67,0.5,0.83,0.83,0.83,50
2.86,0.71,1.43,1.43,7.14,128.57
3,1.6,4,2,2,32
7.14,2.14,1.43,2.86,5.71,107.14
170,4,3,1,6,81.33
1,1.25,1,0.5,1.75,45
56,0.6,1,0.6,1.6,2
1.67,0.83,1.67,0.5,4.17,30
15,3.13,0.63,0.88,3.75,106.25
200,1.67,3.33,5,3.33,120.33
0.8,1,0.6,1.6,2,40
0.8,0.8,0.8,0.4,1.4,110
12.5,5,7.5,1,5,250
3.33,0.33,2.5,0.83,2.5,100
92.86,0.71,2.86,0.43,3.57,20
2,2,5,2,6.67,100
2.58,6.67,1.67,0.33,4.67,83.33
120,0.4,5,10,6,61
0.77,0.46,0.38,1.15,5.38,76.92
1.33,1.67,1.67,1.33,2.67,166.67
50,0.43,2.14,0.71,2.86,14.29
2,1.5,3.75,1.25,3.75,45
2,0.4,0.6,1.5,3,30
2,0.6,1,0.4,4,26
7.5,3.75,2.5,7.5,10,200
1.25,0.63,1.25,3.75,0.63,59.38
0.63,0.5,1.25,1,3.75,56.25
4,1,2.33,1.67,11,123.33
1,1,2,2,4,36
1.43,0.29,1.43,0.43,1.43,42.86
10,1,8,6,12,300
166.67,33.33,5,4,3.33,233.33
20.57,0.8,0.6,1,4,60
70,0.6,2,1,4,44
120,1.7,4,4.17,8.33,66.67
3.5,3,3,1.5,5,400
35,15,12.5,5,20,300
0.6,2.3,4,0.8,2,60
116.67,2.5,1.67,0.5,3.33,75.67
3.75,1.25,1.88,3.75,3.75,62.5
0.8,2,3,0.8,8,72
0.93,2.86,5,2.14,11.43,142.86
0.75,0.5,1,1.75,2.5,103.75
150,0.75,3.75,1.25,6.25,125
100,1.67,2.5,0.83,4.17,65.79
5.71,2.14,4.29,2.86,3.57,78.57
0.83,2,4.33,2.5,5.83,75
4.25,1.75,2.5,2.5,3.75,102.5
1.75,2.5,1.5,1.25,2.5,212.5
2.5,4.5,6.25,1.75,12.5,100
7.14,2.14,1.43,1.43,1.43,21.43
1.43,0.71,0.71,0.71,2.86,28.57
6,3.5,3.5,4,12.5,185
1.5,5,7.5,1.25,15,140
2.31,4.38,1.5,3,3.75,62.5
60,1.11,1.67,5,5,51.43
1.25,3.75,1.75,2.5,5,100
4.17,0.67,0.83,1,1.67,65
85.71,0.71,0.71,0.71,5.71,29
6,2,2,2,5,60
0.83,1,0.5,1,2.5,43.33
200,3,2,6,20,68
8,2,6,2,10,240
5,2.5,25,1.5,35,225
1.5,12.5,3.75,5,5,250
5,3,3,3.75,15,150
10.89,2.86,3.43,2.86,4.29,50
10,9,2,1,4,140
3.33,0.67,2.5,0.5,3.33,83.33
42.5,6,1,2,2,120
4.29,2.86,3.57,2.14,2.86,54.29
6,2,3,2,4,72
5,1.67,2.5,1.67,5,58.33
0.83,2.5,1.33,3.33,3.33,63.33
5,2.5,3.75,7.5,10,200
6.25,1.25,1.25,0.75,15,140
100,1.67,1.67,1.17,3.33,55.26
3.33,0.67,0.67,5,3.33,6.67
2.86,2.14,2.86,1.43,3.57,102.86
100,1.29,1.43,0.71,14.29,107.14
0.83,0.33,0.5,0.83,3.33,50
1,0.4,1,0.8,2,120
1.67,2.5,5,1.33,11.67,93.33
0.71,0.86,0.71,0.29,1.43,71.43
0.83,1.67,3.33,0.83,8.33,116.67
171.43,7.14,2.86,2.14,4.29,97.62
100,6.25,1.88,1.88,5.63,15.63
1.17,1,2,2.5,10,66.67
0.58,3,4,1,4,58.33
0.25,0.33,0.42,0.25,0.67,25
1.67,3.33,6.67,5,3.33,200
4,1,3,1,4,110
137.5,6.25,2,1.25,6.25,123.25
4,0.6,4,4,6.8,148
142.5,2.5,2.5,5,2.5,2.5
0.4,0.4,0.2,0.8,2,36
0.5,0.83,0.83,1.67,5,60
3.33,9.17,3,3.33,6.67,116.67
55.67,8.33,10,6.67,13.33,166.67
10,1.25,5,1.25,12.5,175
3.75,1.25,2.5,1.25,5,125
3.33,2,1.67,3.33,6.67,100
0.33,0.56,0.33,0.33,1.11,20
0.83,5,0.67,1.67,1.33,21.67
0.67,0.83,0.67,0.67,1.67,83.33
1.5,0.8,3,3,7,7
4,3,2.4,4,8,130
100,0.75,5,2.5,7.5,10
1.6,2.4,3.6,2,6,56
1.25,4.75,3.75,2.5,8.75,125
1.14,1.43,3.57,1.14,8.57,108.57
85.71,5.71,0.71,2.86,5,41.9
2.5,0.75,3,1.25,5,125
6.25,5,1,1.25,11.25,225
5.71,0.71,1.43,1.43,0.71,60
50,4.67,4.17,4.17,0.33,47.78
166.67,1.67,5,1,8.33,66.67
1.67,3.33,3.33,1.67,5,100
1.67,0.83,0.83,2.5,3.33,100
1.5,2,2.5,2,8.75,135
50,1.88,1.25,3.5,2.5,81.25
3,3,4,2,6,50
10,3,5,1.2,3,100
5,0.83,2.5,2.5,6.67,53.33
6,2,3,6,10,240
0.29,0.71,0.43,0.71,2.86,21.43
2,10,15,3,35,200
0.63,0.75,0.75,0.63,1.63,112.5
0.83,0.33,1.67,0.33,2.5,121.67
30,1.5,0.2,0.4,2,27.25
3.75,2,2.5,1.75,3.75,112.5
116.67,6.67,0.83,0.83,2.5,75
1,2.4,3,2,5,70
2.5,2.5,2.5,1.67,8.33,133.33
0.83,0.58,0.33,0.83,3.33,50
0.71,2.14,2.14,1.43,4.29,57.14
1.2,0.8,1.6,0.6,4,60
15,0.75,2.5,1,5,125
3.75,2.5,3,5,10,150
8.33,0.83,4.17,0.83,4.17,116.67
100,2.5,1.67,1.67,4.17,60.53
0.63,1.25,1.25,0.63,3.75,45
3.33,1.67,1.67,0.83,3.33,33.33
0.63,2.38,2.5,1.88,5,81.25
87.5,2.5,1.25,3.75,12.5,62.5
2,1.5,2,4,5,75
120,1,1,1,1,2
0.83,0.45,0.83,1.67,4.17,75
2.43,3.43,2.14,1.71,5.14,64.29
0.83,0.83,1,1.67,4.17,100
1.67,1,2,1.33,3.33,108.33
3.33,1,1.67,0.5,5,63.33
17,1.2,1,0.8,4,40
66,0.8,5,2,5,100
5,13.33,1.33,2.5,3.33,60
0.43,0.57,0.57,0.29,1.14,25.71
1.67,1.67,1.67,2,2.67,166.67
0.83,3,2.5,2.5,6.67,66.67
6,1,3,2,7,154
2,2,2,1,6,70
0.36,0.18,1.09,0.91,2.27,34.55
2.5,3.33,3.33,3.33,5,116.67
1.5,1.88,1.88,2.5,5,62.5
0.83,1,1,0.67,1.83,108.33
1.25,1.25,1,0.75,2,75
60,1.2,1.4,2,3,84
85.71,1.43,0.71,1.43,3.57,45.86
0.57,1.71,0.71,1.43,3.57,50
100,1.95,4,1.67,4.17,88.89
0.8,1.3,3,2,3.6,73
66.67,3.33,4.17,5,6.67,71.05
2,0.8,1,2,6,134
150,1.86,7.5,2.5,12.5,143.06
5,1.25,2.5,2.5,11.25,186
1.4,3.77,4.2,1,4.8,122
0.71,1.2,2.14,2.86,5.71,85.71
41.88,1.25,3,3.75,12.5,62.5
1,3,3.6,4,8,100
51.43,0.43,2.14,3.57,10,57.14
5,5,2.5,5,3.75,182.5
4,2,2,3,6,140
1.67,1.67,5,0.83,8.33,91.67
0.5,1.25,10,10,12,100
1.58,1.67,3.33,2,8.33,150
0.83,1.17,0.33,0.5,0.5,19.17
0.8,0.6,0.6,1,1.2,60
1.43,1.31,2.86,2.14,6.43,100
100,5,7.5,3.75,8.75,215.28
16.67,2,3.33,2,10,166.67
150,7.5,8.75,3.75,7.5,210.53
5,2.5,3.75,3.75,3.75,100
1.43,4.29,0.71,4.29,2.86,85.71
6.67,3.33,2.5,1.17,5,116.67
4,2.4,1,2,4,100
1.71,0.71,3.57,1.43,4.29,54.29
1.82,1.36,1.36,0.45,2.73,59.09
8.57,0.29,0.43,2.86,1.43,25.71
1.67,1.17,2,2.5,6.67,75
120,20,2,2,6,73
200,3.33,2.5,1.67,7.5,118.42
66.67,3.33,5,1.67,5,72.81
3.33,3.33,2,3.33,8.33,200
2,2,1,0.4,2,80
10,0.8,0.8,1.2,4.8,70
1,1,1,1,1,60
120,20,3,2,16,36.67
0.5,3.75,2.5,2.5,10,80
1.67,2.67,6.67,1.67,8.33,66.67
0.75,2,0.75,1.25,5,45
70.29,0.6,0.6,0.4,4,40
5.71,2.14,2.86,1.43,5,78.57
2,3.75,6.25,2.5,12.5,137.5
120,3,2,0.6,4,83
42.86,0.57,0.86,1.14,3.57,85.71
1,2.6,4,3,10,140
8.33,0.83,0.5,0.83,1.67,33.33
100,0.8,3,1,5,110
1,1.47,4,3,9,130
1.81,1.67,1.33,1.67,3.33,16.67
100,3.33,10,3.33,13.33,152.63
1.43,1.43,4.29,1.43,10,107.14
3.57,2.14,2.86,1.43,5,114.29
4.55,0.45,0.45,0.27,9.09,50
6.67,10,6.67,5,10,100
75,2.5,3.75,1.25,5,111.84
0.67,1,1,0.67,1.33,53.33
3.33,0.83,1.67,3.33,6.67,66.67
1.2,1,2,4,5,120
2,3.33,5,1.17,5.83,75
0,0,0,0,0,0
